机会名称,机会类型,机会类型分组,主办方,议题标签,主题分区,相关度,截止日期,会议日期,地点/线上,原网页链接,申请/投稿链接,参加条件,费用,是否有资助,资助说明链接,需要准备的材料,岗位类型,岗位职能,排除原因,行动优先级,状态,备注,发现日期,最近核查日期,链接指纹
Call for Papers for the 2026 Annual Congress of the Asian Association of Environmental and Resource Economics,CFP,学术论坛/CFP,Asian Association of Environmental and Resource Economics,environmental economics; resource economics; climate adaptation; economic resilience; Asia,可持续发展/气候,中,2026-07-10,2026-08-20 to 2026-08-21,"Jakarta, Indonesia",https://aaere.org/call-for-papers-for-the-2026-annual-congress-of-aaere,https://jakarta2026.aaere.org,"Researchers working on environmental and resource economics topics, especially climate adaptation and economic resiliency in Asia; detailed eligibility needs checking.",Needs checking,Needs checking,Needs checking,Full paper or slides and registration materials; exact submission requirements need checking.,,Policy research,,高,值得申请,"Deadline appears to fall on the monitoring date, so act immediately if the submission or registration portal remains open.",2026-07-10,2026-07-10,c471c079a0cfa1e7
Singapore AI Safety Fellowship,fellowship,Fellowship,Singapore AI Safety Hub (SASH),AI安全;AI治理;国际AI合作;可信AI;研究资助,AI治理,高,2026-07-10,2026-09-21至2026-12-04,Singapore,https://www.aisafety.sg/programs/singapore-ai-safety-fellowship,https://www.aisafety.sg/programs/singapore-ai-safety-fellowship,面向希望开展能影响现实AI安全实践研究的研究者；具体学历、经验与项目要求待核查,待核查,是,https://www.aisafety.sg/programs/singapore-ai-safety-fellowship,申请表及研究相关材料；具体待核查,,AI或数字治理;政策研究;战略研究,,高,值得申请,"提供每月SGD 5,000 stipend、住宿和旅行支持，并含最高USD 30,000 compute，截止当天需立即行动。",2026-07-10,2026-07-10,0de9ea68b9771de2
UNEP Finance Initiative Internship for APAC Regional Team,internship,Internship,United Nations Environment Programme (UNEP),可持续金融;亚太;气候金融;发展;国际组织,可持续发展/气候,低,2026-07-10,待核查,Geneva/Remote,https://careers.un.org/jobSearchDescription/279004,https://careers.un.org/jobSearchDescription/279004,UN Secretariat internship 通常要求在读或近期毕业，具体学历、专业和语言要求以岗位页面为准；待核查,No Fee；实习薪酬/津贴待核查,待核查,待核查,UN Careers/Inspira 在线申请材料；具体材料待核查,Internship,可持续发展;发展融资;伙伴关系;政策研究,Specialized role barrier: it,高,值得申请,与亚太可持续金融和国际组织经历直接相关；按用户给定日期为截止当天，需立即确认时区。,2026-07-10,2026-07-10,c04b9f916bbafb69
Programme Management and Outreach Intern,internship,Internship,United Nations Office at Geneva,项目管理;传播倡导;多边外交;国际组织;日内瓦,全球治理/国际组织,低,2026-07-11,待核查,"Geneva, Switzerland",https://careers.un.org/jobSearchDescription/279081,https://careers.un.org/jobSearchDescription/279081,UN Secretariat internship 通常要求在读或近期毕业，具体学历、专业和语言要求以岗位页面为准；待核查,No Fee；实习薪酬/津贴待核查,待核查,待核查,UN Careers/Inspira 在线申请材料；具体材料待核查,Internship,项目支持;传播倡导;伙伴关系,Specialized role barrier: it,中高,值得申请,UN Geneva 平台价值高，虽然主题较宽，但对国际组织经历拓展有用。,2026-07-10,2026-07-10,ef9ad69c03ba2691
DC Winter Fellowship 2027,fellowship,Fellowship,GovAI,AI governance; AI policy; early career; public policy; research project,AI治理,高,2026-07-12,2027-01-18 to 2027-04-09,"Washington, DC",https://www.governance.ai/post/dc-winter-fellowship-2027,https://www.governance.ai/post/dc-winter-fellowship-2027,Open to early career individuals entering U.S. AI policy and more experienced professionals transitioning from adjacent fields; detailed eligibility needs checking.,Needs checking,Needs checking,Needs checking,Needs checking,,AI or digital governance,,高,值得申请,"Very time sensitive and highly relevant for AI governance, policy research, and early career positioning.",2026-07-10,2026-07-10,c13c8b3ce0343021
"Communications Intern, Corruption and Financial Crime Branch",internship,Internship,United Nations Office on Drugs and Crime,UN system; anti corruption; financial crime; governance; communications,可持续发展/气候,低,2026-07-13,Needs checking,"Vienna, Austria",https://careers.un.org/jobSearchDescription/280116,https://careers.un.org/jobSearchDescription/280116,Eligibility needs checking inside UN Careers; likely student or recent graduate eligibility applies.,No application fee indicated; remuneration needs checking.,Needs checking,Needs checking,"UN Careers profile, CV or personal history information, cover letter, and education information; exact materials need checking.",Internship,Communications,Specialized role barrier: it,中高,值得申请,"Relevant to governance and financial integrity, but the crime prevention framing makes it less central than development or climate policy roles.",2026-07-10,2026-07-10,ba333d23ac3cf1f1
"INTERN - ECONOMIC AFFAIRS, Economic Commission for Europe",internship,Internship,United Nations Economic Commission for Europe / UN Careers,economic affairs; sustainable development; international organizations; economic governance; policy research,可持续发展/气候,低,2026-07-13,待核查,"Geneva, Switzerland",https://careers.un.org/jobSearchDescription/280166,https://careers.un.org/jobSearchDescription/280166,UN internship 通常要求在读本科高年级/研究生或毕业后短期内；本岗位具体学历、语言和技能要求待核查,No Fee；差旅、签证、住宿及生活成本待核查,待核查,待核查,UN Careers 个人档案/PHP、教育经历、语言与技能信息等；是否需 cover letter 待核查,Internship,政策研究,Specialized role barrier: it,高,值得申请,UN Careers 已单独检索到明确 internship，经济事务方向与发展、国际经济治理和多边机构研究高度相关。,2026-07-10,2026-07-10,9e9328bdc9bb0765
UN Policy Pulse Intern,internship,Internship,United Nations Department of Global Communications / UN Careers,public information; communications; UN policy; global governance; multilateral cooperation,国际关系/政治学,低,2026-07-13,待核查,Work Location listed as Vienna；Duty Station listed as New York，需核查,https://careers.un.org/jobSearchDescription/279912,https://careers.un.org/jobSearchDescription/279912,UN internship 通常要求在读本科高年级/研究生或毕业后短期内；本岗位具体学历、语言和传播/政策写作要求待核查,No Fee；差旅、签证、住宿及生活成本待核查,待核查,待核查,UN Careers 个人档案/PHP、教育经历、语言与技能信息等；是否需 writing sample 待核查,Internship,传播倡导,Specialized role barrier: it,高,值得申请,公共信息与政策传播岗位，可用于积累联合国政策议题、全球治理传播和多边叙事经验。,2026-07-10,2026-07-10,de7dce8c68937595
UNDP Tokyo Public Affairs Intern,internship,Internship,UNDP Representation Office in Tokyo,UNDP; public affairs; communications; partnerships; youth engagement; SDGs; development,发展/不平等,低,2026-07-13,待核查,Tokyo，页面说明可根据事先协商偶尔远程,https://www.undp.org/sites/g/files/zskgke326/files/2026-06/tor-pa-intern-202606.pdf,mailto:undptokyo.hr@undp.org,研究生在读、本科最后一年在读，或毕业一年内；日语熟练；英语书面和口语优秀；专业经历为加分项,无申请费；除UNDP实习津贴外，其他相关费用由实习生或资助方承担,是,https://www.undp.org/sites/g/files/zskgke326/files/2026-06/tor-pa-intern-202606.pdf,UNDP Internship application form；英文和日文简历；英文和日文cover letter,Internship,传播倡导/伙伴关系/项目支持,岗位职能偏强专业壁垒：hr,高,值得申请,公共传播、私营部门伙伴关系、青年参与和发展议题结合紧密，截止很近。,2026-07-10,2026-07-10,e5cebac7f408f29e
"Intern – Climate, Economics and Finance",internship,Internship,World Resources Institute India,climate economics; climate finance; low-carbon transition; sustainability; policy research,可持续发展/气候,低,2026-07-14,待核查,"Bangalore, India；hybrid / office flex",https://www.wri.org/careers/jobs/intern-climate-economics-and-finance-2026-jr100352,https://www.wri.org/careers/jobs/intern-climate-economics-and-finance-2026-jr100352,正在攻读气候变化、可持续、公共政策、发展研究或相关方向硕士学位；0-1年相关工作/实习经验；其他资格待核查,待核查,待核查,待核查,简历；可能有 writing test；cover letter 或其他材料待核查,Internship,气候,Specialized role barrier: it,高,值得申请,"WRI 的 Climate, Economics and Finance 项目与气候融资、低碳转型和发展政策高度吻合，且截止临近。",2026-07-10,2026-07-10,3eca38673e554f99
